date,MOM
198901,-0.0025
198902,0.009899999999999999
198903,0.0351
198904,0.0171
198905,0.014199999999999999
198906,0.004
198907,0.053200000000000004
198908,-0.0049
198909,0.0351
198910,0.013500000000000002
198911,0.027000000000000003
198912,0.0279
199001,-0.0298
199002,-0.0051
199003,0.0172
199004,0.022799999999999997
199005,0.031400000000000004
199006,0.024900000000000002
199007,0.0604
199008,0.0197
199009,0.0571
199010,0.0674
199011,-0.0536
199012,0.0025
199101,-0.0647
199102,-0.049400000000000006
199103,0.0271
199104,-0.0232
199105,-0.0009
199106,0.0042
199107,0.0426
199108,0.0158
199109,0.0175
199110,0.0318
199111,0.0118
199112,0.08289999999999999
199201,-0.025
199202,-0.006999999999999999
199203,-0.0021
199204,-0.0255
199205,0.0006
199206,-0.005699999999999999
199207,0.0147
199208,-0.004699999999999999
199209,0.0144
199210,0.025
199211,-0.0025
199212,0.0433
199301,0.048499999999999995
199302,0.0318
199303,0.037000000000000005
199304,0.0036
199305,0.0021
199306,0.045700000000000005
199307,0.0322
199308,0.0254
199309,0.0339
199310,-0.026699999999999998
199311,-0.04769999999999999
199312,0.0233
199401,0.0011
199402,-0.0034000000000000002
199403,-0.0132
199404,0.0033
199405,-0.020499999999999997
199406,-0.009000000000000001
199407,0.0011
199408,0.0154
199409,0.0132
199410,0.0131
199411,-0.0012
199412,0.0345
199501,-0.0184
199502,-0.004699999999999999
199503,0.0045000000000000005
199504,0.018000000000000002
199505,-0.0055000000000000005
199506,0.0301
199507,0.026000000000000002
199508,0.0005
199509,0.0286
199510,0.0417
199511,-0.0072
199512,0.0248
199601,0.005699999999999999
199602,0.005699999999999999
199603,-0.018500000000000003
199604,-0.009399999999999999
199605,0.016200000000000003
199606,0.0102
199607,-0.0015
199608,-0.0002
199609,0.026699999999999998
199610,0.037200000000000004
199611,-0.0235
199612,0.0053
199701,0.0187
199702,-0.0218
199703,0.0088
199704,0.0483
199705,-0.0519
199706,0.0259
199707,0.037000000000000005
199708,-0.025699999999999997
199709,0.0146
199710,-0.0053
199711,0.0038
199712,0.0391
199801,0.0005
199802,-0.011899999999999999
199803,0.0213
199804,0.0076
199805,0.0191
199806,0.0726
199807,0.0379
199808,0.019
199809,-0.006500000000000001
199810,-0.0533
199811,0.0113
199812,0.08869999999999999
199901,0.028399999999999998
199902,-0.0014000000000000002
199903,-0.0121
199904,-0.0898
199905,-0.0525
199906,0.0466
199907,0.017
199908,0.0298
199909,0.0638
199910,0.0545
199911,0.054900000000000004
199912,0.13140000000000002
200001,0.018600000000000002
200002,0.1802
200003,-0.06849999999999999
200004,-0.086
200005,-0.08990000000000001
200006,0.1663
200007,-0.0016
200008,0.0559
200009,0.0189
200010,-0.045599999999999995
